city,beer,rent,salary,wage,minutes
Phoenix - AZ ,7.64,832.00,24365.00,12.69,36.12
Los Angeles - CA,9.16,2027.00,28222.00,14.70,37.39
New York (Manhattan) - NY,10.29,4125.00,31417.00,16.36,37.73
Chicago - IL,13.39,1150.00,27940.00,14.55,55.21
Houston - TX,8.69,1378.00,26849.00,13.98,37.29
Philadelphia - PA,8.04,1266.00,21671.00,11.29,42.74
San Antonio - TX,8.45,862.00,22333.00,11.63,43.59
San Diego - CA,9.16,1803.00,33135.00,17.26,31.85
Dallas - TX,9.17,806.00,27251.00,14.19,38.76
San Jose - CA,9.61,1720.00,33770.00,17.59,32.78
Jacksonville - FL,8.19,1045.00,25716.00,13.39,36.69
Indianapolis - IN,8.14,870.00,24430.00,12.72,38.38
Austin - TX,8.48,934.00,31170.00,16.23,31.34
San Francisco - CA,8.93,2982.00,46777.00,24.36,21.99
Columbus - OH,7.99,793.00,23618.00,12.30,38.97
Fort Worth - TX,8.79,1096.00,24270.00,12.64,41.72
Charlotte - NC,8.49,816.00,31667.00,16.49,30.89
Detroit - MI,8.45,960.00,15261.00,7.95,63.79
El Paso - TX,8.89,912.00,18781.00,9.78,54.53
Memphis - TN,7.54,980.00,21397.00,11.14,40.59
Boston - MA,8.59,1860.00,33158.00,17.27,29.84
Seattle - WA,9.39,1645.00,41695.00,21.72,25.94
Denver - CO,7.54,980.00,32051.00,16.69,27.10
Baltimore - MD,8.49,1441.00,23853.00,12.42,41.00
Washington - DC,7.99,1846.00,43993.00,22.91,20.92
Honolulu - HI,9.09,2652.00,30269.00,15.77,34.60
,,,,,
,,,,,
